,동,사고월,요일,구간,사고내용,사망자수,중상자수,경상자수,부상신고자수,갯수
0,가정동,1,0,0,경상사고,0.0,0.0,1.0,0.0,1
4,가정동,1,0,1,경상사고,0.0,0.0,2.3333333333333335,0.0,3
7,가정동,1,0,1,중상사고,0.0,1.0,0.0,0.0,2
8,가정동,1,0,2,경상사고,0.0,0.0,1.2,0.0,5
11,가정동,1,0,2,중상사고,0.0,1.0,0.3333333333333333,0.0,3
12,가정동,1,0,3,경상사고,0.0,0.0,1.3333333333333333,0.0,6
13,가정동,1,0,3,부상신고사고,0.0,0.0,0.0,1.0,1
15,가정동,1,0,3,중상사고,0.0,2.0,0.0,0.0,1
16,가정동,1,0,4,경상사고,0.0,0.0,1.5,0.0,4
19,가정동,1,0,4,중상사고,0.0,1.4,0.4,0.0,5
20,가정동,1,1,0,경상사고,0.0,0.0,1.0,0.0,1
23,가정동,1,1,0,중상사고,0.0,1.0,2.0,0.0,1
24,가정동,1,1,1,경상사고,0.0,0.0,1.0,0.0,2
27,가정동,1,1,1,중상사고,0.0,1.0,0.6666666666666666,0.0,3
28,가정동,1,1,2,경상사고,0.0,0.0,1.1111111111111112,0.0,9
31,가정동,1,1,2,중상사고,0.0,1.0,2.0,0.0,1
32,가정동,1,1,3,경상사고,0.0,0.0,1.5,0.0,4
35,가정동,1,1,3,중상사고,0.0,1.0,0.6666666666666666,0.0,3
36,가정동,1,1,4,경상사고,0.0,0.0,1.0,0.0,6
39,가정동,1,1,4,중상사고,0.0,1.0,0.42857142857142855,0.0,7
40,가정동,1,2,0,경상사고,0.0,0.0,1.0,0.0,2
44,가정동,1,2,1,경상사고,0.0,0.0,1.1666666666666667,0.0,6
47,가정동,1,2,1,중상사고,0.0,1.0,0.5,0.0,2
48,가정동,1,2,2,경상사고,0.0,0.0,1.25,0.0,4
49,가정동,1,2,2,부상신고사고,0.0,0.0,0.0,1.0,1
51,가정동,1,2,2,중상사고,0.0,2.0,1.0,0.0,1
55,가정동,1,2,3,중상사고,0.0,1.0,1.0,0.0,4
56,가정동,1,2,4,경상사고,0.0,0.0,1.375,0.0,8
59,가정동,1,2,4,중상사고,0.0,1.1666666666666667,0.3333333333333333,0.0,6
60,가정동,1,3,0,경상사고,0.0,0.0,1.5,0.0,2
64,가정동,1,3,1,경상사고,0.0,0.0,1.0,0.0,2
67,가정동,1,3,1,중상사고,0.0,1.3333333333333333,0.0,0.0,3
68,가정동,1,3,2,경상사고,0.0,0.0,1.0,0.0,4
71,가정동,1,3,2,중상사고,0.0,1.0,0.0,0.0,3
72,가정동,1,3,3,경상사고,0.0,0.0,1.4,0.0,5
75,가정동,1,3,3,중상사고,0.0,1.0,0.0,0.0,2
76,가정동,1,3,4,경상사고,0.0,0.0,3.0,0.0,3
79,가정동,1,3,4,중상사고,0.0,1.0,0.6666666666666666,0.0,3
80,가정동,1,4,0,경상사고,0.0,0.0,1.0,0.0,1
84,가정동,1,4,1,경상사고,0.0,0.0,1.0,0.0,1
85,가정동,1,4,1,부상신고사고,0.0,0.0,0.0,1.0,1
87,가정동,1,4,1,중상사고,0.0,1.3333333333333333,0.0,0.0,3
88,가정동,1,4,2,경상사고,0.0,0.0,2.0,0.0,2
91,가정동,1,4,2,중상사고,0.0,1.0,1.0,0.0,4
92,가정동,1,4,3,경상사고,0.0,0.0,1.1428571428571428,0.2857142857142857,7
95,가정동,1,4,3,중상사고,0.0,1.0,0.0,0.0,2
96,가정동,1,4,4,경상사고,0.0,0.0,1.0,0.0,4
99,가정동,1,4,4,중상사고,0.0,1.0,3.0,0.0,1
100,가정동,1,5,0,경상사고,0.0,0.0,1.0,0.0,4
103,가정동,1,5,0,중상사고,0.0,1.0,0.0,0.0,1
107,가정동,1,5,1,중상사고,0.0,1.0,0.0,0.0,1
108,가정동,1,5,2,경상사고,0.0,0.0,1.0,0.0,3
111,가정동,1,5,2,중상사고,0.0,2.6666666666666665,1.6666666666666667,0.0,3
112,가정동,1,5,3,경상사고,0.0,0.0,1.75,0.0,8
115,가정동,1,5,3,중상사고,0.0,1.0,0.0,0.0,1
116,가정동,1,5,4,경상사고,0.0,0.0,1.3333333333333333,0.0,3
119,가정동,1,5,4,중상사고,0.0,1.0,0.0,0.0,2
120,가정동,1,6,0,경상사고,0.0,0.0,1.0,0.0,2
123,가정동,1,6,0,중상사고,0.0,1.0,0.0,0.0,1
124,가정동,1,6,1,경상사고,0.0,0.0,1.0,0.0,4
126,가정동,1,6,1,사망사고,1.0,0.0,0.0,0.0,1
127,가정동,1,6,1,중상사고,0.0,1.0,0.0,0.0,1
128,가정동,1,6,2,경상사고,0.0,0.0,1.4,0.0,5
131,가정동,1,6,2,중상사고,0.0,1.0,0.0,0.0,1
134,가정동,1,6,3,사망사고,1.0,0.0,0.0,0.0,1
136,가정동,1,6,4,경상사고,0.0,0.0,1.0,0.0,4
140,가정동,10,0,0,경상사고,0.0,0.0,1.5,0.0,2
143,가정동,10,0,0,중상사고,0.0,1.3333333333333333,0.0,0.0,3
144,가정동,10,0,1,경상사고,0.0,0.0,1.8,0.0,5
147,가정동,10,0,1,중상사고,0.0,1.0,0.3333333333333333,0.0,3
148,가정동,10,0,2,경상사고,0.0,0.0,1.2,0.0,5
151,가정동,10,0,2,중상사고,0.0,1.0,2.5,0.0,2
152,가정동,10,0,3,경상사고,0.0,0.0,1.4,0.0,5
155,가정동,10,0,3,중상사고,0.0,1.5,0.0,0.0,4
156,가정동,10,0,4,경상사고,0.0,0.0,1.2,0.0,5
159,가정동,10,0,4,중상사고,0.0,1.0,0.0,0.0,1
160,가정동,10,1,0,경상사고,0.0,0.0,1.0,0.0,3
163,가정동,10,1,0,중상사고,0.0,1.0,0.0,0.0,1
164,가정동,10,1,1,경상사고,0.0,0.0,1.0,0.0,2
166,가정동,10,1,1,사망사고,1.0,1.0,0.0,0.0,1
167,가정동,10,1,1,중상사고,0.0,1.0,0.0,0.0,1
168,가정동,10,1,2,경상사고,0.0,0.0,3.5,0.0,2
169,가정동,10,1,2,부상신고사고,0.0,0.0,0.0,1.0,1
171,가정동,10,1,2,중상사고,0.0,1.0,0.0,0.0,1
172,가정동,10,1,3,경상사고,0.0,0.0,1.0,0.0,4
176,가정동,10,1,4,경상사고,0.0,0.0,1.5,0.0,4
179,가정동,10,1,4,중상사고,0.0,2.0,0.0,0.0,2
180,가정동,10,2,0,경상사고,0.0,0.0,1.6666666666666667,0.0,3
183,가정동,10,2,0,중상사고,0.0,1.0,1.0,0.0,3
184,가정동,10,2,1,경상사고,0.0,0.0,1.3333333333333333,0.0,12
187,가정동,10,2,1,중상사고,0.0,1.0,0.0,0.0,1
188,가정동,10,2,2,경상사고,0.0,0.0,1.0,0.0,3
191,가정동,10,2,2,중상사고,0.0,1.0,0.0,0.0,1
192,가정동,10,2,3,경상사고,0.0,0.0,1.2857142857142858,0.0,7
195,가정동,10,2,3,중상사고,0.0,1.0,1.0,0.0,1
196,가정동,10,2,4,경상사고,0.0,0.0,1.0,0.0,5
199,가정동,10,2,4,중상사고,0.0,1.5,0.5,0.0,2
200,가정동,10,3,0,경상사고,0.0,0.0,1.5,0.0,4
203,가정동,10,3,0,중상사고,0.0,1.0,0.0,0.0,1
204,가정동,10,3,1,경상사고,0.0,0.0,1.0,0.0,1
207,가정동,10,3,1,중상사고,0.0,1.5,0.5,0.0,2
208,가정동,10,3,2,경상사고,0.0,0.0,1.1666666666666667,0.0,6
211,가정동,10,3,2,중상사고,0.0,1.0,2.0,0.0,1
212,가정동,10,3,3,경상사고,0.0,0.0,1.4,0.1,10
215,가정동,10,3,3,중상사고,0.0,1.0,2.0,0.0,1
216,가정동,10,3,4,경상사고,0.0,0.0,1.3333333333333333,0.0,3
217,가정동,10,3,4,부상신고사고,0.0,0.0,0.0,1.0,1
219,가정동,10,3,4,중상사고,0.0,1.0,0.0,0.0,2
220,가정동,10,4,0,경상사고,0.0,0.0,1.3333333333333333,0.0,3
223,가정동,10,4,0,중상사고,0.0,1.0,0.3333333333333333,0.0,3
224,가정동,10,4,1,경상사고,0.0,0.0,1.0833333333333333,0.0,12
227,가정동,10,4,1,중상사고,0.0,1.0,0.3333333333333333,0.0,3
228,가정동,10,4,2,경상사고,0.0,0.0,1.0769230769230769,0.0,13
231,가정동,10,4,2,중상사고,0.0,1.5,0.5,0.0,4
232,가정동,10,4,3,경상사고,0.0,0.0,1.8571428571428572,0.0,7
235,가정동,10,4,3,중상사고,0.0,1.5,0.25,0.0,4
236,가정동,10,4,4,경상사고,0.0,0.0,1.4,0.0,5
239,가정동,10,4,4,중상사고,0.0,1.3333333333333333,1.3333333333333333,0.0,6
240,가정동,10,5,0,경상사고,0.0,0.0,1.75,0.0,4
243,가정동,10,5,0,중상사고,0.0,2.0,0.5,0.0,2
244,가정동,10,5,1,경상사고,0.0,0.0,1.0,0.0,1
248,가정동,10,5,2,경상사고,0.0,0.0,1.0,0.0,3
251,가정동,10,5,2,중상사고,0.0,1.0,0.0,0.0,1
252,가정동,10,5,3,경상사고,0.0,0.0,1.0,0.0,2
255,가정동,10,5,3,중상사고,0.0,1.0,0.0,0.0,3
256,가정동,10,5,4,경상사고,0.0,0.0,2.0,0.0,4
259,가정동,10,5,4,중상사고,0.0,1.5,0.5,0.0,2
260,가정동,10,6,0,경상사고,0.0,0.0,1.3333333333333333,0.0,3
263,가정동,10,6,0,중상사고,0.0,2.0,0.0,0.0,1
264,가정동,10,6,1,경상사고,0.0,0.0,1.5,0.0,2
267,가정동,10,6,1,중상사고,0.0,1.0,1.0,0.0,1
268,가정동,10,6,2,경상사고,0.0,0.0,1.5,0.5,2
271,가정동,10,6,2,중상사고,0.0,1.0,2.0,0.0,1
272,가정동,10,6,3,경상사고,0.0,0.0,1.0,0.0,4
274,가정동,10,6,3,사망사고,1.0,0.0,0.0,0.0,1
276,가정동,10,6,4,경상사고,0.0,0.0,1.4,0.0,5
279,가정동,10,6,4,중상사고,0.0,1.0,0.0,0.5,2
283,가정동,11,0,0,중상사고,0.0,1.0,2.0,0.0,1
284,가정동,11,0,1,경상사고,0.0,0.0,1.3333333333333333,0.0,6
285,가정동,11,0,1,부상신고사고,0.0,0.0,0.0,1.0,1
287,가정동,11,0,1,중상사고,0.0,1.0,0.0,0.0,2
288,가정동,11,0,2,경상사고,0.0,0.0,1.0,0.0,3
289,가정동,11,0,2,부상신고사고,0.0,0.0,0.0,1.0,1
291,가정동,11,0,2,중상사고,0.0,1.0,0.0,0.0,2
292,가정동,11,0,3,경상사고,0.0,0.0,1.125,0.0,8
295,가정동,11,0,3,중상사고,0.0,1.3333333333333333,0.0,0.0,3
296,가정동,11,0,4,경상사고,0.0,0.0,1.6,0.0,5
297,가정동,11,0,4,부상신고사고,0.0,0.0,0.0,1.0,1
299,가정동,11,0,4,중상사고,0.0,1.0,0.5,0.0,2
303,가정동,11,1,0,중상사고,0.0,1.0,1.0,0.0,1
304,가정동,11,1,1,경상사고,0.0,0.0,1.0,0.0,4
307,가정동,11,1,1,중상사고,0.0,1.0,0.0,0.0,2
308,가정동,11,1,2,경상사고,0.0,0.0,1.0,0.0,2
311,가정동,11,1,2,중상사고,0.0,1.0,0.0,0.0,2
312,가정동,11,1,3,경상사고,0.0,0.0,1.75,0.0,8
316,가정동,11,1,4,경상사고,0.0,0.0,1.875,0.125,8
319,가정동,11,1,4,중상사고,0.0,1.0,0.0,0.0,3
320,가정동,11,2,0,경상사고,0.0,0.0,1.5,0.0,2
324,가정동,11,2,1,경상사고,0.0,0.0,1.1666666666666667,0.0,6
328,가정동,11,2,2,경상사고,0.0,0.0,1.2,0.0,5
332,가정동,11,2,3,경상사고,0.0,0.0,1.5,0.0,2
335,가정동,11,2,3,중상사고,0.0,1.0,1.0,0.0,2
336,가정동,11,2,4,경상사고,0.0,0.0,1.2,0.0,5
339,가정동,11,2,4,중상사고,0.0,1.0,0.5,0.0,2
340,가정동,11,3,0,경상사고,0.0,0.0,1.0,0.0,1
343,가정동,11,3,0,중상사고,0.0,1.0,2.0,0.0,1
344,가정동,11,3,1,경상사고,0.0,0.0,1.0,0.0,4
348,가정동,11,3,2,경상사고,0.0,0.0,2.25,0.0,4
351,가정동,11,3,2,중상사고,0.0,1.0,1.0,0.0,2
352,가정동,11,3,3,경상사고,0.0,0.0,1.1111111111111112,0.0,9
355,가정동,11,3,3,중상사고,0.0,1.0,0.0,0.0,2
356,가정동,11,3,4,경상사고,0.0,0.0,1.0,0.0,5
359,가정동,11,3,4,중상사고,0.0,1.0,0.0,0.0,1
364,가정동,11,4,1,경상사고,0.0,0.0,1.4,0.0,5
367,가정동,11,4,1,중상사고,0.0,1.0,0.5,0.0,2
368,가정동,11,4,2,경상사고,0.0,0.0,1.0,0.0,3
371,가정동,11,4,2,중상사고,0.0,1.0,2.5,0.0,2
372,가정동,11,4,3,경상사고,0.0,0.0,1.4285714285714286,0.0,7
375,가정동,11,4,3,중상사고,0.0,1.0,0.6666666666666666,0.0,6
376,가정동,11,4,4,경상사고,0.0,0.0,1.1428571428571428,0.0,7
380,가정동,11,5,0,경상사고,0.0,0.0,1.6666666666666667,0.0,3
383,가정동,11,5,0,중상사고,0.0,1.0,1.0,0.0,1
384,가정동,11,5,1,경상사고,0.0,0.0,1.0,0.0,4
