요일,월,시간대,동,운행속도
0,1,0,가정동,24
0,1,0,가좌동,25
0,1,0,간석동,22
0,1,0,갈산동,22
0,1,0,갈현동,45
0,1,0,검암동,24
0,1,0,경동,24
0,1,0,경서동,46
0,1,0,계산동,15
0,1,0,고잔동,21
0,1,0,공촌동,51
0,1,0,관교동,28
0,1,0,관동1가,47
0,1,0,관동2가,11
0,1,0,관동3가,6
0,1,0,구산동,45
0,1,0,구월동,21
0,1,0,귤현동,25
0,1,0,금곡동,41
0,1,0,남촌동,33
0,1,0,내동,20
0,1,0,노오지동,78
0,1,0,논현동,18
0,1,0,답동,23
0,1,0,당하동,32
0,1,0,도림동,39
0,1,0,도원동,11
0,1,0,도화동,27
0,1,0,동양동,20
0,1,0,동춘동,14
0,1,0,둑실동,50
0,1,0,마전동,14
0,1,0,만석동,20
0,1,0,만수동,19
0,1,0,목상동,29
0,1,0,문학동,36
0,1,0,박촌동,24
0,1,0,방축동,36
0,1,0,백석동,57
0,1,0,병방동,23
0,1,0,부개동,28
0,1,0,부평동,18
0,1,0,북성동1가,20
0,1,0,북성동2가,36
0,1,0,사동,28
0,1,0,산곡동,23
0,1,0,삼산동,31
0,1,0,상야동,83
0,1,0,서운동,68
0,1,0,서창동,23
0,1,0,석남동,23
0,1,0,선린동,42
0,1,0,선주지동,76
0,1,0,선학동,16
0,1,0,선화동,12
0,1,0,송도동,23
0,1,0,송림동,22
0,1,0,송월동1가,34
0,1,0,송학동2가,22
0,1,0,송현동,13
0,1,0,수산동,37
0,1,0,숭의동,23
0,1,0,시천동,61
0,1,0,신생동,12
0,1,0,신현동,27
0,1,0,신흥동1가,45
0,1,0,신흥동2가,17
0,1,0,신흥동3가,28
0,1,0,심곡동,11
0,1,0,십정동,15
0,1,0,연수동,21
0,1,0,연희동,32
0,1,0,오류동,38
0,1,0,옥련동,22
0,1,0,왕길동,38
0,1,0,용동,29
0,1,0,용종동,37
0,1,0,용현동,22
0,1,0,운남동,80
0,1,0,운북동,108
0,1,0,운서동,50
0,1,0,운연동,62
0,1,0,원당동,30
0,1,0,원창동,36
0,1,0,유동,27
0,1,0,인현동,18
0,1,0,일신동,49
0,1,0,임학동,18
0,1,0,작전동,21
0,1,0,장기동,42
0,1,0,장수동,50
0,1,0,전동,20
0,1,0,주안동,22
0,1,0,중산동,102
0,1,0,중앙동1가,43
0,1,0,중앙동3가,43
0,1,0,창영동,25
0,1,0,청라동,37
0,1,0,청천동,26
0,1,0,청학동,5
0,1,0,평동,88
0,1,0,하야동,37
0,1,0,학익동,35
0,1,0,항동2가,26
0,1,0,항동3가,17
0,1,0,항동4가,56
0,1,0,항동5가,42
0,1,0,항동7가,15
0,1,0,화수동,31
0,1,0,화평동,19
0,1,0,효성동,31
0,1,1,가정동,21
0,1,1,가좌동,17
0,1,1,간석동,16
0,1,1,갈산동,17
0,1,1,갈현동,42
0,1,1,검암동,15
0,1,1,경동,19
0,1,1,경서동,26
0,1,1,계산동,16
0,1,1,고잔동,22
0,1,1,공촌동,40
0,1,1,관교동,14
0,1,1,관동1가,12
0,1,1,관동2가,16
0,1,1,관동3가,8
0,1,1,구산동,38
0,1,1,구월동,15
0,1,1,귤현동,18
0,1,1,금곡동,24
0,1,1,남북동,88
0,1,1,남촌동,25
0,1,1,내동,19
0,1,1,노오지동,72
0,1,1,논현동,19
0,1,1,다남동,48
0,1,1,답동,16
0,1,1,당하동,21
0,1,1,도림동,28
0,1,1,도원동,13
0,1,1,도화동,20
0,1,1,동양동,18
0,1,1,동춘동,18
0,1,1,둑실동,60
0,1,1,마전동,5
0,1,1,만석동,14
0,1,1,만수동,20
0,1,1,목상동,34
0,1,1,문학동,22
0,1,1,박촌동,27
0,1,1,방축동,31
0,1,1,백석동,39
0,1,1,병방동,17
0,1,1,부개동,12
0,1,1,부평동,14
0,1,1,북성동1가,14
0,1,1,북성동2가,18
0,1,1,불로동,21
0,1,1,사동,18
0,1,1,산곡동,18
0,1,1,삼산동,16
0,1,1,상야동,49
0,1,1,서운동,18
0,1,1,서창동,24
0,1,1,석남동,21
0,1,1,선린동,16
0,1,1,선주지동,35
0,1,1,선학동,21
0,1,1,선화동,17
0,1,1,송도동,16
0,1,1,송림동,21
0,1,1,송월동1가,19
0,1,1,송학동2가,26
0,1,1,송현동,11
0,1,1,수산동,34
0,1,1,숭의동,15
0,1,1,시천동,70
0,1,1,신생동,15
0,1,1,신현동,21
0,1,1,신흥동1가,24
0,1,1,신흥동2가,15
0,1,1,신흥동3가,22
0,1,1,심곡동,11
0,1,1,십정동,16
0,1,1,연수동,13
0,1,1,연희동,22
0,1,1,오류동,27
0,1,1,옥련동,20
0,1,1,왕길동,38
0,1,1,용동,30
0,1,1,용종동,23
0,1,1,용현동,19
0,1,1,운남동,78
0,1,1,운북동,109
0,1,1,운서동,55
0,1,1,운연동,52
0,1,1,원당동,21
0,1,1,원창동,57
0,1,1,유동,15
0,1,1,이화동,22
0,1,1,인현동,10
0,1,1,일신동,10
0,1,1,임학동,16
0,1,1,작전동,19
0,1,1,장기동,26
0,1,1,장수동,40
0,1,1,전동,25
0,1,1,주안동,17
0,1,1,중산동,96
0,1,1,중앙동1가,21
0,1,1,중앙동3가,19
0,1,1,창영동,31
0,1,1,청라동,20
0,1,1,청천동,21
0,1,1,청학동,14
0,1,1,평동,49
0,1,1,하야동,29
0,1,1,학익동,15
0,1,1,항동1가,2
0,1,1,항동2가,18
0,1,1,항동4가,29
0,1,1,항동7가,24
0,1,1,화수동,15
0,1,1,화평동,18
0,1,1,효성동,28
0,1,2,가정동,18
0,1,2,가좌동,18
0,1,2,간석동,14
0,1,2,갈산동,16
0,1,2,갈현동,40
0,1,2,검암동,11
0,1,2,경동,11
0,1,2,경서동,29
0,1,2,계산동,17
0,1,2,고잔동,29
0,1,2,공촌동,31
0,1,2,관교동,13
0,1,2,관동1가,2
0,1,2,관동2가,13
0,1,2,관동3가,10
0,1,2,구산동,27
0,1,2,구월동,13
0,1,2,귤현동,10
0,1,2,금곡동,19
0,1,2,남촌동,25
0,1,2,내동,15
0,1,2,노오지동,79
0,1,2,논현동,16
0,1,2,다남동,43
0,1,2,답동,18
0,1,2,당하동,21
0,1,2,대곡동,58
0,1,2,도림동,27
0,1,2,도원동,9
0,1,2,도화동,19
